id,name,image,party,party_id,area,term,source
347,José Maria Fernandes da Veiga,http://www.parlamento.cv/DepImag.aspx?CodDeputado=347,PAICV,PAICV,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=347
337,José Maria Gomes da Veiga,http://www.parlamento.cv/DepImag.aspx?CodDeputado=337,PAICV,PAICV,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=337
338,Julião Correia Varela,http://www.parlamento.cv/DepImag.aspx?CodDeputado=338,PAICV,PAICV,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=338
390,Júlio Lopes Correia,http://www.parlamento.cv/DepImag.aspx?CodDeputado=390,PAICV,PAICV,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=390
320,Lúcia Maria Mendes Gonçalves dos Passos,http://www.parlamento.cv/DepImag.aspx?CodDeputado=320,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=320
362,Luís Carlos dos Santos Silva,http://www.parlamento.cv/DepImag.aspx?CodDeputado=362,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=362
340,Manuel Inocêncio Sousa,http://www.parlamento.cv/DepImag.aspx?CodDeputado=340,PAICV,PAICV,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=340
321,Maria Celeste Fonseca,http://www.parlamento.cv/DepImag.aspx?CodDeputado=321,MPD,MPD,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=321
393,Miguel Pedro Sousa Monteiro,http://www.parlamento.cv/DepImag.aspx?CodDeputado=393,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=393
322,Mircéia Isidora Araújo Delgado,http://www.parlamento.cv/DepImag.aspx?CodDeputado=322,MPD,MPD,São Vicente,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=322
342,Moisés António do Espírito Santo Tavares Borges,http://www.parlamento.cv/DepImag.aspx?CodDeputado=342,PAICV,PAICV,Santiago Norte,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=342
323,Nelson do Rosário de Brito,http://www.parlamento.cv/DepImag.aspx?CodDeputado=323,MPD,MPD,São Nicolau,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=323
341,Nilda Maria Gonçalves de Pina Fernandes,http://www.parlamento.cv/DepImag.aspx?CodDeputado=341,PAICV,PAICV,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=341
343,Nuías Mendes Barbosa da Silva,http://www.parlamento.cv/DepImag.aspx?CodDeputado=343,PAICV,PAICV,Fogo,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=343
344,Odailson Jorge da Luz Bandeira,http://www.parlamento.cv/DepImag.aspx?CodDeputado=344,PAICV,PAICV,Santo Antão,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=344
354,Orlando Pereira Dias,http://www.parlamento.cv/DepImag.aspx?CodDeputado=354,MPD,MPD,África,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=354
359,Paulo Jorge Lima Veiga,http://www.parlamento.cv/DepImag.aspx?CodDeputado=359,MPD,MPD,Santiago Sul,9,http://www.parlamento.cv/Inform_Dep2.aspx?CodDeputado=359
