party,page_id,district,term_id,image,name,region,details_url,chamber,term
Indépendant,ranaivoson-andrianavalona-fanomezanjaka-pierrot,Fenoarivo Be,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/88.jpg,RANAIVOSON ANDRIANAVALONA Fanomezanjaka Pierrot,Bongolava,http://www.assemblee-nationale.mg/?depute=ranaivoson-andrianavalona-fanomezanjaka-pierrot,National Assembly,2013
Indépendant,ramparany-ramanana-anthelme,Manajary,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/89.jpg,MANANJARA Ruffine Aurelie,Vatovavy Fitovinany,http://www.assemblee-nationale.mg/?depute=ramparany-ramanana-anthelme,National Assembly,2013
Indépendant,randriamahefa-henri-charles,Moramanga,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/90.jpg,RANDRIAMAHEFA Henri Charles,Alaotra Mangoro,http://www.assemblee-nationale.mg/?depute=randriamahefa-henri-charles,National Assembly,2013
M. RAVALOMANANA,randriamampianina-ramilison,Antanifotsy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/91.jpg,RANDRIAMAMPIANINA Ramilison,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=randriamampianina-ramilison,National Assembly,2013
M. RAVALOMANANA,randriamandimbisoa-felix-marie-louis,Antananarivo IV,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/92.jpg,RANDRIAMANDIMBISOA Félix Marie Louis,Analamanga,http://www.assemblee-nationale.mg/?depute=randriamandimbisoa-felix-marie-louis,National Assembly,2013
M. RAVALOMANANA,randriambolaina-gerry,Antananarivo Avaradrano,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/93.jpg,RANDRIAMBOLAINA Gerry,Analamanga,http://www.assemblee-nationale.mg/?depute=randriambolaina-gerry,National Assembly,2013
Indépendant,randriamialisoa-willison,Ambatomainty,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/94.jpg,RANDRIAMIALISOA Willison,Melaky,http://www.assemblee-nationale.mg/?depute=randriamialisoa-willison,National Assembly,2013
Indépendant,randrianandraina-theophile-christian,Benenitra,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/95.jpg,RANDRIANANDRAINA Théophile Christian,Atsimoandrefana,http://www.assemblee-nationale.mg/?depute=randrianandraina-theophile-christian,National Assembly,2013
M. RAVALOMANANA,randrianantenaina-olivier-anthonny-jose,Antsirabe II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/96.jpg,RANDRIANANTENAINA Olivier Anthonny José,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=randrianantenaina-olivier-anthonny-jose,National Assembly,2013
M. RAVALOMANANA,randrianarisoa-guy-celin-rivoniaina,Antananarivo V,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/97.jpg,RANDRIANARISOA Guy Célin Rivoniaina,Analamanga,http://www.assemblee-nationale.mg/?depute=randrianarisoa-guy-celin-rivoniaina,National Assembly,2013
Indépendant,rakotonimanana-solonirina-andriambelovololona,Brickaville,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/98.jpg,RAKOTONIMANANA Solonirina Andriambelovololona,Atsinanana,http://www.assemblee-nationale.mg/?depute=rakotonimanana-solonirina-andriambelovololona,National Assembly,2013
Indépendant,randrianarisoa-nee-ramahatodisolomanana-vaonalaroy-vaonalaroy,Antananarivo II,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/99.jpg,RANDRIANARISOA Stanislas,Analamanga,http://www.assemblee-nationale.mg/?depute=randrianarisoa-nee-ramahatodisolomanana-vaonalaroy-vaonalaroy,National Assembly,2013
MAPAR,randrianasolo-dera-louis-charles,Antanifotsy,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/100.jpg,RANDRIANASOLO Dera Louis Charles,Vakinankaratra,http://www.assemblee-nationale.mg/?depute=randrianasolo-dera-louis-charles,National Assembly,2013
MAPAR,randrianasolo-jean-nicolas,Betroka,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/101.jpg,RANDRIANASOLO Jean Nicolas,Anosy,http://www.assemblee-nationale.mg/?depute=randrianasolo-jean-nicolas,National Assembly,2013
MAPAR,randrianasolo-volatiana-pauline,Vondrozo,,http://www.assemblee-nationale.mg/wp-content/plugins/internet/2014/102.jpg,RANDRIANASOLO Volatiana Pauline,Atsimo Atsinanana,http://www.assemblee-nationale.mg/?depute=randrianasolo-volatiana-pauline,National Assembly,2013
