name,twitter,area,source,id
Jonathan Genest-Jourdain,@GenestJourdain,Manicouagan,http://politwitter.ca/user/GenestJourdain,@GenestJourdain
Gerald Keddy,@GeraldKeddy,South Shore—St. Ma,http://politwitter.ca/user/GeraldKeddy,@GeraldKeddy
Gerry Byrne,@Gerry_Byrne,HumberSt. Barbe,http://politwitter.ca/user/Gerry_Byrne,@Gerry_Byrne
Guy Caron,@GuyCaronNPD,Rimouski-Neigette—,http://politwitter.ca/user/GuyCaronNPD,@GuyCaronNPD
Hélène Laverdière,@HLaverdiere2,Laurier—Sainte-Mar,http://politwitter.ca/user/HLaverdiere2,@HLaverdiere2
Hedy Fry,@HedyFry,Vancouver Centre,http://politwitter.ca/user/HedyFry,@HedyFry
Hélène LeBlanc,@HeleneLeBlanc,LaSalle—Émard,http://politwitter.ca/user/HeleneLeBlanc,@HeleneLeBlanc
Russ Hiebert,@HiebertRuss,South Surrey—White,http://politwitter.ca/user/HiebertRuss,@HiebertRuss
Ed Fast,@HonEdFast,Abbotsford,http://politwitter.ca/user/HonEdFast,@HonEdFast
Isabelle Morin,@IsabelleMorinMP,Notre-Dame-de-Grâce,http://politwitter.ca/user/IsabelleMorinMP,@IsabelleMorinMP
Jason,@JJLibertarian,Newmarket—Aurora,http://politwitter.ca/user/JJLibertarian,@JJLibertarian
Jamie Nicholls,@JPNichollsNPD,Vaudreuil-Soulanges,http://politwitter.ca/user/JPNichollsNPD,@JPNichollsNPD
Jack Harris,@JackHarrisNDP,St. John's East,http://politwitter.ca/user/JackHarrisNDP,@JackHarrisNDP
Jacques Gourde,@JacquesGourde,Lotbinière—Chutes,http://politwitter.ca/user/JacquesGourde,@JacquesGourde
James Moore,@JamesMoore_org,Port Moody—Westwoo,http://politwitter.ca/user/JamesMoore_org,@JamesMoore_org
James Rajotte,@JamesRajotte,Edmonton—Leduc,http://politwitter.ca/user/JamesRajotte,@JamesRajotte
