id,name,group,group_id,gender,term,constituency,area-constituency,area-district,area-sub_region,area-region,area_type,qualification,email,phone,twitter,facebook,image,summary,date_of_birth,date_of_death,start_date,end_date
mp_240,Richard Gafabusa,National Resistance Movement,NRM,male,10,Bwamba County,Bwamba County,Bundibugyo,Tooro/Rwenzori,Western,Rural,,,,,,,,,,,
mp_241,Richard Okoth Othieno,National Resistance Movement,NRM,male,10,West Budama North,West Budama North,Tororo,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_242,Richard Oseku,National Resistance Movement,NRM,male,10,Kibale County,Kibale County,Pallisa,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_243,Robert Kafeero Sekitoleko,National Resistance Movement,NRM,male,10,Nakifuma county,Nakifuma county,Mukono,Buganda,Central,Rural,Masters,,,,,,,1972,,,
mp_244,Robert Kasolo,National Resistance Movement,NRM,male,10,Iki Iki,Iki Iki,Budaka,Bukedi,Eastern,Rural,,,,,,,,,,,
mp_245,Robert Migadde Ndugwa,National Resistance Movement,NRM,male,10,Buvuma county,Buvuma county,Buvuma,Buganda,Central,Rural,Master,,,,,,,1980,,,
mp_246,Robert Musoke,National Resistance Movement,NRM,male,10,Budiope West,Budiope West,Buyende,Busoga,Eastern,Rural,,,,,,,,,,,
mp_247,Robert Ntende,Independent,INDEP,male,10,Bunya South,Bunya South,Mayuge,Busoga,Eastern,Rural,,,,,,,,,,,
mp_248,Robinah Rwakojo,National Resistance Movement,NRM,female,10,Gomba West,Gomba West,Gomba,Buganda,Central,Rural,,,,,,,,,,,
mp_249,Roland Kaginda Mugume,Forum for Democratic Change,FDC,male,10,Rukungiri Municipality,Rukungiri Municipality,Rukungiri,Kigezi,Western,Urban,Masters,,,,,,,1970,,,
mp_25,Ashraf Olega,National Resistance Movement,NRM,male,10,Aringa county,Aringa county,Yumbe,West Nile,Northern,Rural,,,,,,,,,,,
mp_250,Ronald Kibuule,Independent,INDEP,male,10,Mukono North,Mukono North,Mukono,Buganda,Central,Urban,Bachelors,,,,,,,1984,,,
