identifier__kuvakazim,name,area,party,term,start_date,end_date,,
228,Priscilla Misihairabwi-Mushonga,Glen Norah,MDC,5,,, Jun 1905,
228,Priscilla Misihairabwi-Mushonga,Matebeleland South,MDC,8,,,,
237,Gladys Mathe,,MDC-T,8,,,,
241,Anastancia Ndhlovu,Midlands,ZANU PF,8,,,,
242,Tariro Mtingwende,Midlands,ZANU PF,8,,,,
246,Teti Banda,,MDC-T,8,,,,
247,Sabbina Mangwende,Harare,ZANU PF,8,,,,
249,Josephine Value Chitembwe,Harare,MDC-T,8,,,,
256,Getrude Chibagu,Mashonaland central,ZANU PF,8,,,,
260,Tsitsi Gezi,Mashonaland West,ZANU PF,8,,,,
262,Mabel Matirangano Nkatazo,Mashonaland East,ZANU PF,8,,,,
263,Getrude Hungwa,Mashonaland East,ZANU PF,8,,,,
264,Mabel Kaundikiza,Mashonaland East,ZANU PF,8,,,,
265,Lilian Zemura,Mashonaland East,ZANU PF,8,,,,
269,Nomsa Jenifer Mlanga,Mashonaland West,ZANU PF,8,,,,
276,Monica Chigudu,Masvingo,ZANU PF,8,,,,
278,Judith Muzhavazhe,Masvingo,MDC-T,8,,,,
360,Tionei Melody Dziva,,ZANU PF,8,,,,
361,Abigail Damasane,Matebeleland South,ZANU PF,8,,,,
363,Maideyi Mpala,Lobengula,MDC-T,,2015-06-16,,,
364,Tshinga J Dube,Makokoba,ZANU PF,,2015-06-17,,,
365,Joseph Tshuma,Pelandaba-Mpopoma,ZANU PF,,2015-06-17,,,
366,Godfrey N Malaba,Pumula,ZANU PF,,2015-06-17,,,
367,Omega S Hungwe,Dzivaresekwa,ZANU PF,,2015-06-17,,,
368,Hazvineyi Z Makari,Epworth,,,2015-10-21,,,
369,Pius Madzinga,Glen View South,ZANU PF,,2015-06-16,,,
370,Terence Mukupe,Harare East,ZANU PF,,2015-06-16,,,
371,Psychology Mazivisa,Highfield West,ZANU PF,,2015-06-16,,,
372,Tinashe Maduza,Kambuzuma,ZANU PF,,2015-06-16,,,
